pool,id,year,page,source,stage,word_count,text
en_to_zh,s0435,2024,12,阅读B,,23,"Stealing artifacts from other peoples' cultures is obscene; it robs not only the physical objects, but the dignity and spirit of their creators."
en_to_zh,s0674,2026,11,翻译C,,16,"In your essay, you should 1) describe the charts briefly, 2) interpret the charts, and 3) give your comments."
en_to_zh,s0375,2024,3,阅读A,,21,"Roman lamps and Roman chariots are very different from LED strips and sports cars, but Roman nails are still clearly nails."
en_to_zh,s0607,2026,7,阅读A,,25,A woman says there have been fewer street fights since the arrival of the wireless but also less stopping and talking on the brush handle.
en_to_zh,s0398,2024,7,阅读A,,20,"But these open-source programs are built by scraping images from the internet, often without permission and proper attribution to artists."
en_to_zh,s0658,2026,10,阅读B,,24,"We are living through a golden age of science writing, so lucid and accessible that even lay readers can relish the unpredictability of discovery."
en_to_zh,s0553,2025,13,翻译C,,16,"In the information era, large data sets, small teams and financial restrictions have slowed scientific process."
en_to_zh,s0593,2026,5,阅读A,,24,"Other regions in the United States, Canada and Europe have steadily increased incentives to attract TV shows and movies, leaving California in the dust."
en_to_zh,s0370,2024,3,阅读A,,17,The Romans buried the nails so deep that they would not be discovered for almost two millennia.
en_to_zh,s0448,2024,13,阅读B,,24,"When finding their way to waterholes, they headed off in exactly the right direction, on one occasion from a distance of roughly thirty miles."
en_to_zh,s0609,2026,7,阅读A,,24,"True: for more than 80 pre-digital years, linear speech broadcasting brought the gift of serendipity, random enlivening of a car journey or dull manual task."
en_to_zh,s0541,2025,12,阅读B,,16,"That makes it sound easy, and artificial, but Peters insists it is still a massive challenge."
en_to_zh,s0625,2026,8,阅读A,,24,"This deficit is a testament to the effectiveness of modern firefighting, said Kelly Martin, a past president of the International Association of Wildland Fire."
en_to_zh,s0623,2026,8,阅读A,,24,"In the study, the researchers compared the historical fire cadence with the wildfires recorded over the past few decades, and uncovered a striking shortfall."
en_to_zh,s0649,2026,10,阅读B,,20,"Some are drawn to what I think of as business car crash books — the stories of Theranos, Purdue, or WeWork."
en_to_zh,s0433,2024,11,阅读B,,22,"Artifacts in museums have the power to inspire, and perhaps spark that need to learn and understand the nature of their creators."
en_to_zh,s0557,2025,13,翻译C,,17,"They've implored citizens to help with bug counting and categorising cancer cells, and even identifying distant galaxies."
en_to_zh,s0461,2024,14,翻译C,,15,"Their well-developed hippocampal structures may enable elephants, like rats and people, to construct cognitive maps."
en_to_zh,s0650,2026,10,阅读B,,20,"But outside those narrow pools of interest, a vast ocean awaits, bountiful with simmering ideas, mental adventure and imaginative refreshment."
en_to_zh,s0355,2023,12,翻译C,,19,At the same time Al can also be used to generate content for social media posts and chat sites.
