surface,count,year_counts,context_count,first_context
new,60,"{""2020"": 10, ""2021"": 4, ""2022"": 9, ""2023"": 11, ""2024"": 10, ""2025"": 7, ""2026"": 9}",10,"A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK town of culture award."
people,54,"{""2020"": 12, ""2021"": 9, ""2022"": 10, ""2023"": 5, ""2024"": 8, ""2025"": 4, ""2026"": 6}",10,They transform the aspirations of the people who live there; they nudge the self-image of the city into a bolder and more optimistic light.
one,50,"{""2020"": 5, ""2021"": 9, ""2022"": 6, ""2023"": 8, ""2024"": 12, ""2025"": 7, ""2026"": 3}",10,The French tax is not just a unilateral move by one country in need of revenue.
science,45,"{""2020"": 1, ""2021"": 2, ""2022"": 7, ""2023"": 8, ""2025"": 11, ""2026"": 16}",10,"There are experiments that show that, naturally, the results of interviews are much more biased than what AI does, says Pedro Domingos, author of The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World and a computer science professor at the University of Washington."
use,43,"{""2020"": 2, ""2021"": 10, ""2022"": 2, ""2023"": 6, ""2024"": 11, ""2025"": 8, ""2026"": 4}",10,"With the use of eye-tracking technology, Minson of the Harvard Kennedy School of Government concluded that eye contact can signal very different kinds of messages, depending on the situation."
research,40,"{""2020"": 4, ""2021"": 2, ""2022"": 8, ""2023"": 2, ""2024"": 2, ""2025"": 12, ""2026"": 10}",10,"Scientists need journals in which to publish their research, so they will supply the articles without monetary reward."
time,40,"{""2020"": 8, ""2021"": 2, ""2022"": 8, ""2023"": 8, ""2024"": 4, ""2025"": 4, ""2026"": 6}",10,"Scientific publishers routinely report profit margins approaching 40% on their operations, at a time when the rest of the publishing industry is in an existential crisis."
work,39,"{""2020"": 3, ""2021"": 2, ""2022"": 13, ""2023"": 3, ""2024"": 5, ""2025"": 8, ""2026"": 5}",10,"Other scientists perform the specialised work of peer review also for free, because it is a central element in the acquisition of status and the production of scientific knowledge."
scientists,38,"{""2020"": 5, ""2021"": 1, ""2022"": 10, ""2023"": 8, ""2025"": 9, ""2026"": 5}",10,"Scientists need journals in which to publish their research, so they will supply the articles without monetary reward."
change,35,"{""2020"": 2, ""2021"": 4, ""2022"": 4, ""2023"": 10, ""2024"": 4, ""2025"": 5, ""2026"": 6}",10,The 17th and 18th centuries were times of radical change and curiosity.
